270371879787133,GET,590745267,200
270372470760400,GET,530876418,200
270373001785247,GET,268611936,200
270373270831356,GET,256901468,200
270373527849016,GET,258998851,200
270373786998667,GET,260729648,200
270374047842096,GET,1794612009,200
270375842474762,GET,1856163950,200
270377698649176,GET,250262327,200
270377948924261,GET,258095946,200
270379208813831,GET,8882283231,200
270388091117582,GET,524139216,200
270388615272027,GET,282623821,200
270388897918018,GET,262646013,200
270389160576121,GET,252512639,200
270389413102950,GET,254423096,200
270389667538856,GET,262916658,200
270389930469745,GET,255949538,200
270390186431205,GET,258351745,200
270390444793673,GET,254339367,200
270391699689052,GET,304681999,200
270392004383980,GET,510300837,200
270392514704043,GET,284961739,200
270392799679017,GET,258652331,200
270393058349869,GET,255445576,200
270393313811769,GET,268223929,200
270393582046400,GET,249921151,200
270393831982915,GET,263024489,200
270394095019207,GET,257186513,200
270394352225118,GET,254983159,200
270395608868248,GET,256453582,200
270395865343652,GET,555006168,200
270396420359096,GET,279265434,200
270396699638167,GET,264299756,200
270396963943663,GET,253327468,200
270397217280885,GET,264987363,200
270397482275696,GET,538721315,200
270398021023953,GET,903882417,200
270398924917239,GET,248333108,200
270399173263851,GET,254929154,200
270400432529181,GET,293287636,200
270400725835247,GET,505803780,200
270401231666461,GET,256821260,200
270401488496318,GET,897772050,200
270402386283874,GET,308445342,200
270402694746063,GET,254537189,200
270402949298313,GET,359050652,200
270403308364095,GET,253233423,200
270403561622635,GET,250240734,200
270403811875633,GET,246921328,200
